block_number,log_index,z,trade_size_usdc,adverse_slippage,z_cap_roll,scale_roll,size_eff_roll,cost_eff_roll
410743330,121,2.3087661036178516e-07,14769464818.008064,0.0005131854246373301,,,,
410743330,190,8.879369083395182e-07,56802431860.81556,0.0,,,,
410743330,205,7.244139833781868e-08,4634166633.168896,0.0005043405044751791,,,,
410743332,92,6.347127085697643e-08,4060336386.641351,0.0005038408870683894,,,,
410743333,128,3.101393317916847e-07,19840000000.0,0.0005176047796939657,,,,
410743338,70,1.0580447005353268e-07,6768443956.254019,0.0005062125469560302,,,,
410743339,44,8.935684125989241e-07,57162686214.43511,0.0005502500810067527,,,,
410743339,74,1.5054794557406225e-06,96307399094.92116,0.0005844774562157412,,,,
410743340,16,6.101725667608588e-07,39033500377.39397,0.0005343867660599529,,,,
410743341,12,4.681077045893232e-07,29945433897.079082,0.000526445523657265,,,,
410743341,29,4.516130155509957e-08,2889024805.970123,0.0005028168378083626,,,,
410743343,12,2.113534767532138e-06,135205456030.33344,0.0006184800028539969,,,,
410743344,49,6.585554446804164e-07,42128613442.79768,0.0005370846243075143,,,,
410743344,64,2.804901944434848e-07,17943307692.094353,0.0005159520950159014,,,,
410743345,47,1.3027581595871372e-06,83339064854.79114,0.0005731125092170826,,,,
410743346,108,3.317002000875527e-07,21219275645.30043,0.0005187882596300004,,,,
410743346,137,9.981788681292691e-07,64119999081.8451,0.000556073834833315,,,,
410743346,140,2.3602350901748606e-07,15161438159.73387,0.000513460028065112,,,,
410743346,144,1.535183365454579e-06,98615547900.64291,0.0005860981194036514,,,,
410743347,16,1.2447071380795688e-07,7995623139.207964,0.000507214034194794,,,,
410743347,45,3.023485751604714e-07,19421960312.603954,0.0005171583933809315,,,,
410743347,61,4.9812940505005925e-08,3199833017.333868,0.0005031016325648613,,,,
410743347,72,6.936237493358076e-07,44556297063.18144,0.0005390398591783522,,,,
410743353,41,1.4327888200921933e-08,920380312.207648,0.0005011495326605682,,,,
410743399,19,8.94178644132231e-07,57439338450.65032,0.0005502462886554074,,,,
410743598,27,2.830799319194562e-06,181842008023.89304,0.0006585163767570002,,,,
410743652,24,8.943652561108463e-07,57451325841.16671,0.0005502497513094009,,,,
410743664,84,7.103504337562091e-07,45630768807.59786,0.0005397694162444489,,,,
410743693,18,1.199309221329124e-06,77721057626.0,0.0005672869072489043,,,,
410743706,46,7.721391511695945e-07,50038364081.64659,0.0,,,,
410743707,20,1.7147479911375677e-06,111123991263.54842,0.0,,,,
410743756,8,6.786470099733898e-07,43594236509.879,0.0005381908727148683,,,,
410743759,17,7.789520836098273e-07,50037531829.81143,0.0005435038186478291,,,,
410743792,3,8.395282179978497e-07,54405502642.05616,0.0005471756315808098,,,,
410743884,25,2.2633418469359264e-07,14667553537.034796,0.0,,,,
410744088,49,3.9151691766302816e-08,2537219624.269987,0.0,,,,
410744129,21,6.677999506829232e-07,43276677546.21895,0.0005375766271961751,,,,
410744143,11,9.502797051028283e-09,615827364.683014,0.0,,,,
410744149,47,2.7079052454359507e-06,175485400998.61264,0.0006515978582313615,,,,
410744218,32,1.7700510895539626e-08,1147079004.193152,0.0,,,,
410744256,27,6.24091637757694e-07,40444166758.1903,0.0005351277644931265,,,,
410744307,3,9.20375109560081e-08,5964477355.4213,0.0005054162342929482,,,,
410745193,36,6.661918602141654e-09,431724654.8,0.0,,,,
410745240,24,8.943865935928815e-07,57960591600.81949,0.0,,,,
410745241,45,1.761555083412071e-06,114157317991.36304,0.0,,,,
410745246,41,8.942631363956325e-07,57952590975.31683,0.0,,,,
410745248,27,1.7383989870367311e-06,112656690572.86751,0.0,,,,
410745264,4,8.941225355547804e-07,57943479358.51293,0.0,,,,
410745272,16,1.0708901041527703e-06,68790749521.3975,0.0,,,,
410745387,3,8.412077053631893e-07,54036645152.20277,0.0,,,,
410745403,73,8.28047132417541e-07,53191249650.31939,0.0,,,,
410745412,72,6.481677271551469e-07,41636339334.61247,0.0,,,,
410745412,90,1.8488080759968917e-06,118761853131.19276,0.0,,,,
410745412,100,1.1878301912823595e-06,76302627921.94194,0.0,,,,
410745412,103,3.1075378363253706e-07,19961885547.167995,0.0,,,,
410745412,131,6.340497986883955e-07,40729446202.30022,0.0,,,,
410745412,137,3.3501467080942043e-07,21520331746.717323,0.0,,,,
410745413,24,1.0313017971547612e-06,66247716113.84654,0.0,,,,
410745413,46,3.1701775722359767e-07,20280021456.745823,0.0,,,,
410745428,28,1.0666884752107616e-08,682373926.129318,0.0005012093407934571,,,,
410745429,39,7.178082043208103e-07,45919086403.68943,0.0,,,,
410745455,81,6.888487292496032e-07,44066512652.10004,0.0,,,,
410745455,179,1.8397212188860952e-06,117689261700.01746,0.0,,,,
410745456,25,1.003151069051807e-06,64172825468.5092,0.0,,,,
410745456,45,2.6227892264946346e-07,16778309914.14057,0.0,,,,
410745456,48,3.6793976248142937e-07,23537565665.92074,0.0,,,,
410745456,51,7.64480575741384e-09,489047762.3424,0.0,,,,
410745456,73,2.312631720688861e-07,14794193652.704962,0.0,,,,
410745456,108,1.4884860539053731e-06,95220309977.70528,0.0,,,,
410745456,153,1.4883358291009965e-07,9521069990.954134,0.0,,,,
410745460,39,4.651594187005481e-07,29756828370.34574,0.0,,,,
410745462,24,1.2046440615484448e-07,7706258359.121783,0.0005070174750183129,,,,
410745462,35,4.5233875121171626e-08,2893667427.53815,0.0005028114629081053,,,,
410745462,47,7.244139833781868e-08,4634166633.168896,0.0005043668451057515,,,,
410745467,36,5.44248209420562e-08,3481623698.782167,0.0005033456274949227,,,,
410745470,40,1.743525630880292e-08,1115355099.168768,0.0005012404431620659,,,,
410745470,66,7.875839174225958e-07,50382725826.467545,0.0,,,,
410745472,6,1.1330316798962873e-06,72481450189.7532,0.0,,,,
410745473,17,1.640427757684698e-06,104968272198.2787,0.0,,,,
410745473,29,9.272722837900765e-07,59334627221.97158,0.0,,,,
410745473,121,2.2768549120162814e-07,14569219829.456821,0.0,,,,
410745480,181,6.49216695921448e-07,41542307812.038414,0.0,,,,
410745480,305,3.1871655073712174e-06,203941474991.18954,0.0,,,,
410745492,6,8.928427561750752e-07,57131538418.20102,0.0,,,,
410745496,16,3.429959299420269e-08,2194774501.247898,0.0005021776805522702,,,,
410745498,30,3.6966050027139416e-08,2365396698.005504,0.0005024045979437612,,,,
410745499,53,9.581190014811166e-08,6130845791.573317,0.0005056519469751817,,,,
410745502,17,5.1307123708569385e-08,3283058398.593024,0.0005031227060587471,,,,
410745503,11,1.7701064876744583e-07,11326620068.926233,0.0005101782618569918,,,,
410745503,23,2.887876664095721e-08,1847904745.160509,0.0005019793616635903,,,,
410745505,5,5.132895074239681e-08,3284455074.562048,0.0005031521841777123,,,,
410745507,35,1.2538614375689326e-08,802325296.320414,0.0005010494802081783,,,,
410745510,12,2.5655567186614063e-08,1641657517.211648,0.0005017934897581877,,,,
410745511,13,4.559659780665336e-08,2917651245.209037,0.0005029093152778032,,,,
410745637,22,2.98255810207035e-08,1908489838.937955,0.0005019356907885502,,,,
410745648,78,1.0133350236135398e-05,648416402907.271,0.0,,,,
410745649,128,3.1435762373556996e-08,2008356707.959469,0.0,,,,
410745650,3,5.868192169042582e-06,374904955898.4295,0.0,,,,
410745650,40,4.879230718872158e-07,31172254159.077377,0.0005275916694240423,,,,
410745650,175,1.006497583256448e-07,6430275648.661982,0.0,,,,
